Location,Handle,Text,Geo,Place
Ashburn,fritzw1957,"I'm at Black Hill Regional Park - @montgomeryparks in Boyds, MD https://t.co/Rulrf2bVOK","{u'type': u'Point', u'coordinates': [39.19435703, -77.29151225]}","Maryland, USA"
Ashburn,elissa1987,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,johncarls,@_authorblues imagine if twitch was going bankrupt. Would you rather watch ads? How much would you pay? Its a nice free thing we all love,,NULL
Ashburn,KamranA96485488,@jasoncundy05 Moyes &gt;Jose,,NULL
Ashburn,BarakatOrtho,"Did you make it to our Patient Halloween Bash 2016? It was amazing! Check out the photos here: 
https://t.co/mNFDRPVfXY",,NULL
Ashburn,PrayingMantis33,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,varepall,Schweizer: Clinton Cash Is the 'Roadmap' for FBI Foundation Probe - Breitbart https://t.co/yy96EXADCF,,NULL
Ashburn,paidvolunteer,Amazing. https://t.co/9ExczEuEBI,,NULL
Ashburn,TwitlerYouth,RT @varepall: Lena Dunham Posts Video Celebrating the 'Extinction of White Men' on Twitter - Breitbart https://t.co/3Wa2uherEo,,NULL
Ashburn,TysonsDentistry,Another reason to make your gum health a priority. https://t.co/NWZqEwXB5Y https://t.co/u69ZlzoD1p,,NULL
Ashburn,tmj_VAW_ins,"If you're looking for work in #Leesburg, VA, check out this #job: https://t.co/9068KmVGyy #NettempsJobs #Insurance #Hiring #CareerArc","{u'type': u'Point', u'coordinates': [39.1156615, -77.5636015]}","Leesburg, VA"
Ashburn,crgargaro,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,GGLaw,RT @BrentBozell: Here is my full statement on the networks' blackout of the likely Clinton Foundation indictment. https://t.co/ztcCBXdOdc,,NULL
Ashburn,paffiFlood,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,Ssj102,Oh yeah with the boys @KixBrooks @RonnieDunn @reba https://t.co/rvRsuq3yI6,,NULL
Ashburn,cfcwired,All Women are invited to a special Women's Concert with Ellie Lafaro and Point of Grace at CFC on Dec 5th! Tickets: https://t.co/c3i5Im0Q6i,,NULL
Ashburn,AlexKingsbury,RT @BruceBartlett: If this campaign has proven one thing beyond dispute it is that racism still runs very deep in the nation's veins.,,NULL
Ashburn,timmy0302,@BenGolliver https://t.co/IQCZKv2MdJ,,"Tysons Corner, VA"
Ashburn,angie_lepus,RT @BrentBozell: Clinton Foundation 'a classic RICO case' https://t.co/Si9aw8ztfF,,NULL
Ashburn,varepall,'Gays for Trump' Show Pride at Florida Rallies - Breitbart https://t.co/LBQEERKdmH,,NULL
